organism_name,description
Dipteryx alata,"Dipteryx alata, commonly known as baru, a tree species native to South America, valued for its edible seeds."
Hordeum pubiflorum,"Hordeum pubiflorum, a barley species with pubescent flowers."
Dendrobium hybrid cultivar,"Dendrobium hybrid cultivar, a cultivated hybrid orchid within the Dendrobium genus."
Fragaria nubicola,"Fragaria nubicola, a strawberry species native to the Himalayan region."
Fragaria nipponica,"Fragaria nipponica, the Japanese strawberry, known for its small and flavorful berries."
Magnolia virginiana,"Magnolia virginiana, the sweetbay magnolia, a tree with fragrant white flowers."
Chlorophytum comosum,"Chlorophytum comosum, the spider plant, a popular houseplant with arching leaves and spiderettes."
Hyacinthus orientalis,"Hyacinthus orientalis, the common hyacinth, known for its fragrant and colorful flowers."
Tilia amurensis,"Tilia amurensis, the Amur linden, a deciduous tree native to East Asia."
Vitis aestivalis,"Vitis aestivalis, the summer grape, a grapevine species native to North America."
Fragaria orientalis,"Fragaria orientalis, an oriental strawberry species."
Lilium candidum,"Lilium candidum, the Madonna lily, known for its large, fragrant white flowers."
Hordeum bulbosum,"Hordeum bulbosum, a barley species with bulbous corms."
Cinnamomum micranthum f. kanehirae,"Cinnamomum micranthum f. kanehirae, a variety of cinnamon tree with small leaves, also known as Taiwanese cinnamon."
Biscutella laevigata subsp. laevigata,"Biscutella laevigata subsp. laevigata, a flowering plant in the mustard family."
Erythroxylum macrophyllum var. savannarum,"Erythroxylum macrophyllum var. savannarum, a variety of coca plant found in savanna regions."
Helichrysum umbraculigerum,"Helichrysum umbraculigerum, the everlasting flower, known for its bright yellow flowers."
Garcia nutans,"Garcia nutans, a tree species with nodding branches."
Lenwebbia sp. NSW1173648,"Lenwebbia sp. NSW1173648, a species of plant identified by the given code."
Ormosia emarginata,"Ormosia emarginata, a tree species known for its distinctive seeds."
Castanopsis chinensis,"Castanopsis chinensis, the Chinese chinquapin, a tree in the chestnut family."
Cuscuta europaea,"Cuscuta europaea, the European dodder, a parasitic plant that lacks chlorophyll."
Eucalyptus rudis,"Eucalyptus rudis, the flooded gum, a species of eucalyptus tree."
Cordia subcordata,"Cordia subcordata, the beach cordia, a tropical tree with heart-shaped leaves."
Excoecaria cochinchinensis,"Excoecaria cochinchinensis, the Chinese croton, a shrub with toxic sap."
Lathyrus tuberosus,"Lathyrus tuberosus, the tuberous pea, known for its edible tubers."
Caryopteris x clandonensis,"Caryopteris x clandonensis, a hybrid species of flowering shrub in the mint family."
Dactylorhiza incarnata,"Dactylorhiza incarnata, the early marsh orchid, known for its pink-purple flowers."
Hylodesmum podocarpum,"Hylodesmum podocarpum, the eastern hyldesmum, a leguminous plant."
Scalesia atractyloides,"Scalesia atractyloides, a species of flowering plant in the sunflower family."
Turritis glabra,"Turritis glabra, the tower mustard, a biennial plant with tall spikes of white flowers."
Rhodomyrtus psidioides,"Rhodomyrtus psidioides, the native guava, a shrub with pink or white flowers."
Citropsis articulata,"Citropsis articulata, the finger lime, a citrus fruit with caviar-like vesicles."
Carex cristatella,"Carex cristatella, the crested sedge, a tufted perennial sedge."
Brassica balearica,"Brassica balearica, the Balearic cabbage, a wild cabbage species."
Vitis riparia x Vitis cinerea,"Vitis riparia x Vitis cinerea, a hybrid between riverbank grape and graybark grape."
Euclidium syriacum,"Euclidium syriacum, the Syrian spurge, a plant species in the Euphorbiaceae family."
Linderniella brevidens,"Linderniella brevidens, a species of flowering plant."
Juncus inflexus,"Juncus inflexus, the hard rush, a tufted perennial rush."
Cuscuta epithymum,"Cuscuta epithymum, the common dodder, a parasitic plant that twines around other plants."
Dioscorea dumetorum,"Dioscorea dumetorum, the bittersweet yam, a climbing vine with edible tubers."
Luvunga scandens,"Luvunga scandens, the white climbing luvunga, a shrub with climbing stems."
Conringia planisiliqua,"Conringia planisiliqua, the hare's ear mustard, a flowering plant in the mustard family."
Juglans cinerea,"Juglans cinerea, the butternut, a walnut tree native to North America."
Voacanga thouarsii,"Voacanga thouarsii, a tree species in the dogbane family."
Acacia acuminata,"Acacia acuminata, the raspberry jam wattle, a shrub or tree with phyllodes."
Rhodamnia rubescens,"Rhodamnia rubescens, the scrub turpentine, a shrub or small tree."
Rhododendron mucronatum var. ripense,"Rhododendron mucronatum var. ripense, the swamp azalea, known for its fragrant pink flowers."
Passiflora organensis,"Passiflora organensis, a passionflower species native to Brazil."
Mallotus nudiflorus,"Mallotus nudiflorus, the woolly malayannet bush, a shrub or small tree."
Solanum neorickii,"Solanum neorickii, a species of nightshade with purple flowers."
Linum tenue,"Linum tenue, the slender flax, a herbaceous plant with slender stems."
Solanum chmielewskii,"Solanum chmielewskii, the green nightshade, a species of nightshade."
Lindernia subracemosa,"Lindernia subracemosa, a species of flowering plant."
Beta lomatogona,"Beta lomatogona, a species of beet."
Cnidoscolus aconitifolius,"Cnidoscolus aconitifolius, the chaya or tree spinach, a leafy vegetable."
Populus x sibirica,"Populus x sibirica, the Siberian poplar, a hybrid between European and Asian poplars."
Sesbania bispinosa,"Sesbania bispinosa, the prickly sesban, a plant species with spiny stems."
Acacia pycnantha,"Acacia pycnantha, the golden wattle, Australia's floral emblem."
Carex scoparia,"Carex scoparia, the broom sedge, a perennial sedge."
Canavalia ensiformis,"Canavalia ensiformis, the jack bean, a leguminous plant."
Brassica incana,"Brassica incana, the hoary mustard, a wild mustard species."
Syzygium grande,"Syzygium grande, the Malay apple, a tropical fruit tree."
Solanum appendiculatum,"Solanum appendiculatum, the appendaged nightshade, a shrub with purple flowers."
Solanum sitiens,"Solanum sitiens, the bitter nightshade, a species of nightshade."
Pseudoturritis turrita,"Pseudoturritis turrita, the tower mustard, a biennial plant with tower-like spikes of white flowers."
Beta corolliflora,"Beta corolliflora, a species of beet with corolla-like flowers."
Combretum micranthum,"Combretum micranthum, the bushwillow, a deciduous shrub or small tree."
Ficus erecta,"Ficus erecta, the erect fig, a species of fig tree."
Hygrophila difformis,"Hygrophila difformis, the water wisteria, an aquatic plant often used in aquariums."
Reutealis trisperma,"Reutealis trisperma, the Chinese tung oil tree, a deciduous tree."
Themeda triandra,"Themeda triandra, the kangaroo grass, a perennial grass species."
Tetrastigma voinierianum,"Tetrastigma voinierianum, a species of flowering plant."
Solanum corneliomulleri,"Solanum corneliomulleri, a species of nightshade."
Carnegiea gigantea,"Carnegiea gigantea, the saguaro cactus, a large cactus species native to the Sonoran Desert."
Adenophora triphylla var. japonica,"Adenophora triphylla var. japonica, the Japanese ladybell, a herbaceous perennial."
Iris pallida,"Iris pallida, the sweet iris or Dalmatian iris, known for its fragrant flowers."
Microthlaspi erraticum,"Microthlaspi erraticum, a small flowering plant known for its tiny white flowers."
Escallonia herrerae,"Escallonia herrerae, a shrub species with glossy leaves and pink flowers."
Papaver armeniacum,"Papaver armeniacum, the Armenian poppy, recognized for its orange-red flowers."
Chloris gayana,"Chloris gayana, Rhodes grass, a perennial grass species often used for forage."
Hyparrhenia diplandra,"Hyparrhenia diplandra, a grass species with feathery inflorescences."
Escallonia rubra,"Escallonia rubra, the red escallonia, a shrub with red tubular flowers."
Cicer echinospermum,"Cicer echinospermum, a species of chickpea with spiny seeds."
Centrapalus pauciflorus,"Centrapalus pauciflorus, a flowering plant with few flowers in each inflorescence."
Nicotiana noctiflora,"Nicotiana noctiflora, the nighttime tobacco, a species of wild tobacco."
Chrysopogon serrulatus,"Chrysopogon serrulatus, the serrated false beardgrass, a grass species."
Melastoma sanguineum,"Melastoma sanguineum, the red melastoma, known for its showy pink to purple flowers."
Bruguiera cylindrica,"Bruguiera cylindrica, a mangrove species with cylindrical fruits."
Lactuca virosa,"Lactuca virosa, the wild lettuce, a biennial plant with bitter leaves."
Carex parvula,"Carex parvula, the small sedge, a grass-like plant found in wet habitats."
Pugionium dolabratum,"Pugionium dolabratum, the knifeleaf swordleaf, a plant with distinctive sword-shaped leaves."
Moricandia moricandioides,"Moricandia moricandioides, a flowering plant with lobed leaves and purple flowers."
Papaver atlanticum,"Papaver atlanticum, the Atlas poppy, known for its delicate white or pale pink flowers."
Linum bienne,"Linum bienne, the pale flax, a wild species of flax."
Dryas drummondii,"Dryas drummondii, the Drummond's mountain avens, a low-growing flowering plant."
Cercis canadensis,"Cercis canadensis, the eastern redbud, a small tree with showy pink flowers."
Raddia distichophylla,"Raddia distichophylla, a plant species with opposite leaves found in tropical regions."
Moricandia arvensis,"Moricandia arvensis, the field moricandia, a flowering plant with violet to pink flowers."
Eutrema heterophyllum,"Eutrema heterophyllum, the common watercress, a species of aquatic herb."
Kokia drynarioides,"Kokia drynarioides, the hau hele, a critically endangered flowering tree."
Ochetophila trinervis,"Ochetophila trinervis, a plant with three-veined leaves."
Leonotis leonurus,"Leonotis leonurus, the lion's tail, a flowering plant with orange tubular flowers."
Papaver californicum,"Papaver californicum, the California poppy, known for its bright orange flowers."
Vigna hirtella,"Vigna hirtella, a species of wild legume with hairy stems."
Turnera subulata,"Turnera subulata, the white alder, a species of flowering plant."
Begonia fuchsioides,"Begonia fuchsioides, the fuchsia begonia, known for its fuchsia-like flowers."
Parasponia andersonii,"Parasponia andersonii, a deciduous tree with pinnately compound leaves."
Sisymbrium altissimum,"Sisymbrium altissimum, the tall tumblemustard, a weed with slender stems and yellow flowers."
Vitis cinerea,"Vitis cinerea, the winter grape, a grapevine species native to North America."
Heliosperma pusillum,"Heliosperma pusillum, the small sunflower, a plant with small white flowers."
Handroanthus impetiginosus,"Handroanthus impetiginosus, the pink trumpet tree, known for its pink flowers."
